院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
法学院,325,306,0.9415,119,105,0.8824,206,201,0.9757,14,14,1,192,187,0.974,2022
马克思主义学院,37,36,0.973,-,-,-,37,36,0.973,-,-,-,37,36,0.973,2022
建筑城规学院,422,382,0.9052,219,188,0.8584,203,194,0.9557,4,4,1,199,190,0.9548,2022
环境与生态学院,407,376,0.9238,198,174,0.8788,209,202,0.9665,23,22,0.9565,186,180,0.9677,2022
化学化工学院,339,320,0.944,162,150,0.9259,177,170,0.9605,16,12,0.75,161,158,0.9814,2022
艺术学院,289,232,0.8028,228,181,0.7939,61,51,0.8361,-,-,-,61,51,0.8361,2022
管理科学与房地产学院,580,545,0.9397,266,236,0.8872,314,309,0.9841,22,19,0.8636,292,290,0.9932,2022
航空航天学院,181,160,0.884,115,97,0.8435,66,63,0.9545,13,13,1,53,50,0.9434,2022
材料科学与工程学院,636,578,0.9088,357,303,0.8487,279,275,0.9857,51,51,1,228,224,0.9825,2022
经济与工商管理学院,1106,1063,0.9611,360,325,0.9028,746,738,0.9893,30,29,0.9667,716,709,0.9902,2022
公共管理学院,549,528,0.9617,160,144,0.9,389,384,0.9871,6,5,0.8333,383,379,0.9896,2022
微电子与通信工程学院,459,429,0.9346,303,274,0.9043,156,155,0.9936,14,14,1,142,141,0.993,2022
计算机学院,498,475,0.9538,317,301,0.9495,181,174,0.9613,17,17,1,164,157,0.9573,2022
土木工程学院,872,798,0.9151,469,413,0.8806,403,385,0.9553,59,59,1,344,326,0.9477,2022
大数据与软件学院,329,312,0.9483,240,225,0.9375,89,87,0.9775,5,5,1,84,82,0.9762,2022
生命科学学院,66,60,0.9091,27,23,0.8519,39,37,0.9487,12,12,1,27,25,0.9259,2022
机械与运载工程学院,1115,1011,0.9067,576,481,0.8351,539,530,0.9833,57,53,0.9298,482,477,0.9896,2022
资源与安全学院,195,188,0.9641,93,92,0.9892,102,96,0.9412,24,21,0.875,78,75,0.9615,2022
生物工程学院,274,239,0.8723,96,74,0.7708,178,165,0.927,41,40,0.9756,137,125,0.9124,2022
新闻学院,187,153,0.8182,102,78,0.7647,85,75,0.8824,-,-,-,85,75,0.8824,2022
光电工程学院,374,353,0.9439,212,193,0.9104,162,160,0.9877,24,23,0.9583,138,137,0.9928,2022
自动化学院,420,412,0.981,260,253,0.9731,160,159,0.9938,15,14,0.9333,145,145,1,2022
数学与统计学院,251,240,0.9562,147,138,0.9388,104,102,0.9808,11,10,0.9091,93,92,0.9892,2022
物理学院,150,126,0.84,104,88,0.8462,46,38,0.8261,6,6,1,40,32,0.8,2022
药学院,102,96,0.9412,52,47,0.9038,50,49,0.98,11,11,1,39,38,0.9744,2022
重庆大学-辛辛那提大学联合学院,87,78,0.8966,87,78,0.8966,-,-,-,-,-,-,-,-,-,2022
能源与动力工程学院,368,341,0.9266,217,199,0.9171,151,142,0.9404,32,26,0.8125,119,116,0.9748,2022
电气工程学院,601,578,0.9617,313,293,0.9361,288,285,0.9896,45,43,0.9556,243,242,0.9959,2022
体育学院,51,48,0.9412,31,28,0.9032,20,20,1,-,-,-,20,20,1,2022
美视电影学院,294,276,0.9388,233,219,0.9399,61,57,0.9344,-,-,-,61,57,0.9344,2022
外国语学院,211,189,0.8957,121,111,0.9174,90,78,0.8667,-,-,-,90,78,0.8667,2022
博雅学院&人文社会科学高等研究院,79,74,0.9367,42,39,0.9286,37,35,0.9459,1,1,1,36,34,0.9444,2022
